,Point,Away,Right,Elevation,Description,Translated_X,Translated_Y,Translated_Z,Rotated_X,Rotated_Y,Rotated_Z,Latitude,Longitude,Altitude
0,1,-2.61,2.09,101.38,(entry),1148442.1739999999,1942200.7880000002,101.38,-1132632.9173723087,-1951462.5290828312,101.38,-95.09109244896813,31.126241265064298,101.38
1,2,-1.63,2.08,101.16,JT 0,1148443.154,1942200.7780000002,101.16,-1132633.8974212012,-1951462.5270411249,101.16,-95.09109555955175,31.12624110674321,101.16
2,3,17.37,1.8,96.96,JT 1,1148462.154,1942200.4980000001,96.96,-1132652.8990684608,-1951462.4013374122,96.96,-95.09115588574117,31.126238272230093,96.96
3,4,37.06,1.39,93.47,JT 2,1148481.844,1942200.088,93.47,-1132672.591748619,-1951462.1512410417,93.47,-95.09121842909677,31.12623566172009,93.47
4,5,56.86,1.05,90.67,JT 3,1148501.644,1942199.7480000001,90.67,-1132692.3938567243,-1951461.9720356045,90.67,-95.09128130593123,31.126232839345274,90.67
5,6,76.74,0.88,88.47,JT 4,1148521.524,1942199.578,88.47,-1132712.2745817285,-1951461.9634741915,88.47,-95.09134439907277,31.126229537929202,88.47
6,7,96.65,0.39,86.74,JT 5,1148541.434,1942199.088,86.74,-1132732.1879042624,-1951461.6351669405,86.74,-95.09140765781252,31.126227103946196,86.74
7,8,116.61,-0.1,85.54,JT 6,1148561.394,1942198.598,85.54,-1132752.1512251482,-1951461.3072657082,85.54,-95.09147107513374,31.126224660462086,85.54
8,9,136.6,-0.19,84.95,JT 7,1148581.384,1942198.5080000001,84.95,-1132772.1412968964,-1951461.379594899,84.95,-95.09153449953084,31.126221119832845,84.95
9,10,156.6,-0.18,84.81,JT 8,1148601.384,1942198.5180000002,84.81,-1132792.1405562775,-1951461.552001996,84.81,-95.09159793361779,31.126217304420756,84.81
10,11,176.6,-0.17,84.81,JT 9,1148621.384,1942198.5280000002,84.81,-1132812.1398156583,-1951461.7244090931,84.81,-95.09166136769352,31.12621348897785,84.81
11,12,196.6,-0.22,84.8,JT 10,1148641.384,1942198.4780000001,84.8,-1132832.139562262,-1951461.8368181684,84.8,-95.09172481496876,31.126209837218827,84.8
12,13,216.6,-0.19,84.76,JT 11,1148661.384,1942198.5080000001,84.76,-1132852.1386592356,-1951462.0292246062,84.76,-95.0917882446186,31.126205967142692,84.76
13,14,236.6,-0.52,84.74,JT 12,1148681.384,1942198.178,84.74,-1132872.140679543,-1951461.8616429134,84.74,-95.0918517535226,31.126203079323748,84.74
14,15,256.59,-1.1,84.74,JT 13,1148701.374,1942197.598,84.74,-1132892.134730273,-1951461.4439882594,84.74,-95.09191528574442,31.126200875512264,84.74
15,16,276.59,-1.13,84.75,JT 14,1148721.374,1942197.5680000002,84.75,-1132912.1343144686,-1951461.5763966755,84.75,-95.09197872857328,31.126197169057974,84.75
16,17,296.58,-0.75,84.74,JT 15,1148741.364,1942197.948,84.74,-1132932.1205696422,-1951462.1187103698,84.74,-95.09204204939624,31.12619234575057,84.74
17,18,316.58,-0.63,84.78,JT 16,1148761.364,1942198.0680000002,84.78,-1132952.1189357825,-1951462.40111384,84.78,-95.09210545917391,31.1261882299483,84.78
18,19,336.58,-0.89,84.83,JT 17,1148781.364,1942197.8080000002,84.83,-1132972.1203876636,-1951462.3035298393,84.83,-95.09216895261245,31.126185150974162,84.83
19,20,356.57,-1.28,84.84,JT 18,1148801.354,1942197.418,84.84,-1132992.1128955232,-1951462.075868921,84.84,-95.0922324429477,31.126182428578065,84.84
20,21,376.57,-1.62,84.86,JT 19,1148821.354,1942197.078,84.86,-1133012.1149970342,-1951461.8982875578,84.86,-95.09229595398156,31.126179567827865,84.86
21,22,396.57,-1.87,84.86,JT 20,1148841.354,1942196.828,84.86,-1133032.116367712,-1951461.810703227,84.86,-95.0923594451878,31.126176461474845,84.86
22,23,416.57,-1.77,84.9,JT 21,1148861.354,1942196.928,84.9,-1133052.1148962595,-1951462.073107357,84.9,-95.0924228593145,31.126172400089747,84.9
23,24,436.56,-1.36,84.95,JT 22,1148881.344,1942197.338,84.95,-1133072.100907822,-1951462.6454200621,84.95,-95.09248617344971,31.126167494710206,84.95
24,25,456.56,-1.02,85.05,JT 23,1148901.344,1942197.678,85.05,-1133092.0974874804,-1951463.147816279,85.05,-95.09254953470447,31.12616277840602,85.05
25,26,476.55,-0.54,85.17,JT 24,1148921.334,1942198.158,85.17,-1133112.0829306166,-1951463.790126676,85.17,-95.09261283340035,31.126157681965317,85.17
26,27,496.55,-0.19,85.3,JT 25,1148941.334,1942198.5080000001,85.3,-1133132.0794290716,-1951464.3025225631,85.3,-95.09267619242804,31.12615293831431,85.3
27,28,516.55,-0.04,85.39,JT 26,1148961.334,1942198.658,85.39,-1133152.0775516005,-1951464.6149250444,85.39,-95.09273959548469,31.12614874034726,85.39
28,29,536.55,0.14,85.49,JT 27,1148981.334,1942198.838,85.49,-1133172.0754305185,-1951464.9573265363,85.49,-95.09280299192335,31.12614446049234,85.49
29,30,556.55,0.22,85.62,JT 28,1149001.334,1942198.918,85.62,-1133192.0741214738,-1951465.1997313257,85.62,-95.09286641037126,31.126140453463922,85.62
30,31,576.55,0.2,85.76,JT 29,1149021.334,1942198.898,85.76,-1133212.0736244658,-1951465.3421394117,85.76,-95.09292985082891,31.126136719261876,85.76
31,32,596.55,0.23,85.88,JT 30,1149041.334,1942198.928,85.88,-1133232.0727214399,-1951465.5345458495,85.88,-95.09299328026476,31.126132848600424,85.88
32,33,616.55,0.3,86.02,JT 31,1149061.334,1942198.9980000001,86.02,-1133252.0714935986,-1951465.7669509684,86.02,-95.09305670088071,31.12612886876535,86.02
33,34,636.55,0.32,86.15,JT 32,1149081.334,1942199.0180000002,86.15,-1133272.0706717758,-1951465.949357736,86.15,-95.0931201324961,31.126125025328005,86.15
34,35,656.55,0.3,86.28,JT 33,1149101.334,1942198.9980000001,86.28,-1133292.0701747683,-1951466.0917658221,86.28,-95.09318357290903,31.12612129100264,86.28
35,36,676.54,0.34,86.41,JT 34,1149121.324,1942199.0380000002,86.41,-1133312.0591908677,-1951466.2940907264,86.41,-95.0932469683796,31.126117394826757,86.41
36,37,696.54,0.47,86.52,JT 35,1149141.324,1942199.168,86.52,-1133332.0574758046,-1951466.586493867,86.52,-95.0933103757368,31.126113251154347,86.52
37,38,716.54,0.59,86.62,JT 36,1149161.324,1942199.2880000002,86.62,-1133352.0558419446,-1951466.8688973375,86.62,-95.09337378528461,31.126109134736904,86.62
38,39,736.54,0.71,86.67,JT 37,1149181.324,1942199.408,86.67,-1133372.0542080847,-1951467.1513008077,86.67,-95.09343719482084,31.126105018288733,86.67
39,40,756.54,0.8,86.63,JT 38,1149201.324,1942199.4980000001,86.63,-1133392.0528178364,-1951467.4037052672,86.63,-95.09350061095229,31.126100983666852,86.63
40,41,776.54,0.86,86.57,JT 39,1149221.324,1942199.5580000002,86.57,-1133412.0516711988,-1951467.6261107156,86.57,-95.09356403367916,31.126097030871257,86.57
41,42,796.54,0.83,86.52,JT 40,1149241.324,1942199.5280000002,86.52,-1133432.0512553947,-1951467.7585191317,86.52,-95.09362747621549,31.126093323615944,86.52
42,43,816.54,0.42,86.5,JT 41,1149261.324,1942199.118,86.5,-1133452.053925332,-1951467.5109400763,86.5,-95.09369100242948,31.126090653185262,86.5
43,44,836.53,-0.04,86.52,JT 42,1149281.314,1942198.658,86.52,-1133472.047001617,-1951467.2132814662,86.52,-95.09375450792757,31.126088121046397,86.52
44,45,856.53,-0.37,86.59,JT 43,1149301.314,1942198.328,86.59,-1133492.0490219246,-1951467.0456997731,86.59,-95.09381801650328,31.126085232268142,86.59
45,46,876.53,-0.71,86.74,JT 44,1149321.314,1942197.9880000001,86.74,-1133512.0511234356,-1951466.8681184102,86.74,-95.09388152727138,31.126082370744488,86.74
46,47,896.52,-0.91,86.87,JT 45,1149341.304,1942197.7880000002,86.87,-1133532.0420884243,-1951466.8304512275,86.87,-95.09394497547788,31.1260791290852,86.87
47,48,916.52,-1.03,86.99,JT 46,1149361.304,1942197.668,86.99,-1133552.042403454,-1951466.8728626107,86.99,-95.0940084377725,31.126075667215094,86.99
48,49,936.52,-0.99,87.1,JT 47,1149381.304,1942197.708,87.1,-1133572.0414192236,-1951467.0752687189,87.1,-95.09407186481728,31.1260717687437,87.1
49,50,956.52,-0.81,87.22,JT 48,1149401.304,1942197.888,87.22,-1133592.0392981418,-1951467.4176702106,87.22,-95.09413526101629,31.126067488242462,87.22
50,51,976.52,-0.57,87.3,JT 49,1149421.304,1942198.128,87.3,-1133612.0366898375,-1951467.8200697245,87.3,-95.09419864398863,31.126063043996698,87.3
51,52,996.52,-0.39,87.31,JT 50,1149441.304,1942198.3080000002,87.31,-1133632.0345687554,-1951468.1624712169,87.31,-95.09426204016393,31.126058763434113,87.31
52,53,1016.52,-0.33,87.4,JT 51,1149461.304,1942198.368,87.4,-1133652.033422118,-1951468.3848766652,87.4,-95.09432546275755,31.12605481026843,87.4
